CustomerId,Surname,Geography,Age,Balance,EstimatedSalary,BalanceToSalaryRatio
15739357,Moss,Spain,30,145127.85,7554.68,19.21
15807993,Bruno,Germany,30,110148.49,5790.9,19.02
15570086,Lynch,Germany,18,90544.0,4777.23,18.95
15619529,Ndukaku,Spain,27,132576.25,7222.92,18.35
15720509,Hs?,France,34,150856.79,8236.78,18.32
15574142,Chuang,Germany,28,171932.26,9578.24,17.95
15767757,Pisano,Spain,29,120307.58,6795.61,17.7
15717225,Ikemefuna,France,21,161525.96,9262.77,17.44
15751710,Ginikanwa,Spain,31,164870.81,9567.39,17.23
15797389,Hsia,Spain,23,124577.33,7267.25,17.14
15809515,Lewis,Germany,32,151922.94,8877.06,17.11
15659557,Artamonova,Germany,28,167738.82,9903.42,16.94
15783859,Boni,France,24,161884.99,9617.24,16.83
15801904,Heard,Germany,28,143988.0,8755.69,16.45
15678427,Genovese,Germany,27,96129.32,5983.7,16.07
15636520,Milani,France,27,125547.53,7900.46,15.89
15585451,Vigano,Germany,32,108262.87,6935.31,15.61
15731951,Reilly,Spain,28,95328.6,6129.61,15.55
15750056,Hyde,France,29,149218.39,9633.01,15.49
15805676,Hsu,Spain,29,151012.55,9770.97,15.46
15722993,Page,France,27,137963.07,8996.79,15.33
15760641,Gerald,Germany,26,106648.98,7063.6,15.1
15678944,Brown,Germany,32,130935.56,9241.83,14.17
15720155,Tao,Germany,29,131354.39,9324.31,14.09
15742681,Liao,Germany,26,121365.39,8742.36,13.88
15750602,Clendinnen,France,29,147092.65,10928.3,13.46
15734634,Bocharova,Spain,27,100912.19,7631.27,13.22
15687752,Griffin,France,30,87505.47,7278.57,12.02
15746258,Wright,France,29,101486.96,8788.35,11.55
15687477,Thompson,Germany,28,185013.02,16481.12,11.23
15665521,Chiazagomekpele,Germany,18,111183.53,10063.75,11.05
15567557,Chien,France,27,128243.03,11631.34,11.03
15783955,Miah,France,25,165686.11,15467.98,10.71
15704770,Pan,France,25,124532.78,11723.57,10.62
15796231,Nwankwo,France,18,98894.39,9596.4,10.31
15593331,Sidorov,Germany,25,146580.69,14633.35,10.02
15644934,Gentry,France,26,105522.06,10842.46,9.73
15708289,Graham,Spain,25,100913.57,10579.72,9.54
15674583,Trevisani,France,25,78396.08,8316.19,9.43
15813741,Nnachetam,Spain,25,193858.2,21600.11,8.97
15696637,Sung,France,23,151097.28,17163.75,8.8
15644501,Enyinnaya,France,26,162482.76,18458.2,8.8
15794849,Aitken,Germany,22,91560.58,10541.38,8.69
15643752,Wei,France,25,116160.23,13411.67,8.66
15601026,Gallagher,Germany,19,138657.08,16161.82,8.58
15782802,Beneventi,Germany,26,114450.32,14081.64,8.13
15780961,Cavenagh,France,21,178718.19,22388.0,7.98
15792986,T'ao,Germany,24,133811.78,17185.95,7.79
15799815,Bobrov,Germany,23,163549.63,21085.12,7.76
15723064,Kistler,Spain,24,165149.13,21858.28,7.56
15632210,Hill,Germany,25,171770.55,22745.5,7.55
15678385,Lange,France,25,78247.31,10472.31,7.47
15769596,Yen,Germany,24,110407.44,15832.43,6.97
15680587,Esposito,France,23,131254.81,20199.3,6.5
15646310,Mao,Spain,24,143582.89,22527.27,6.37
15638963,Garran,France,22,174852.89,28149.06,6.21
15761775,Myers,Germany,20,180293.84,29552.7,6.1
15755648,Pisano,France,21,98373.26,18203.0,5.4
